i, j, depth, land, ib
1,1,0.0,1,1
2,1,0.0,1,1
3,1,0.0,1,1
4,1,0.0,1,1
5,1,0.0,1,1
6,1,0.0,1,1
7,1,0.0,1,1
8,1,0.0,1,1
9,1,0.0,1,1
10,1,0.0,1,1
11,1,0.0,1,1
1,2,0.0,1,1
2,2,10.0,0,11
3,2,10.0,0,11
4,2,10.0,0,11
5,2,10.0,0,11
6,2,10.0,0,11
7,2,10.0,0,11
8,2,10.0,0,11
9,2,10.0,0,11
10,2,10.0,0,11
11,2,0.0,1,1
1,3,0.0,1,1
2,3,10.0,0,11
3,3,10.0,0,11
4,3,10.0,0,11
5,3,10.0,0,11
6,3,10.0,0,11
7,3,10.0,0,11
8,3,10.0,0,11
9,3,10.0,0,11
10,3,10.0,0,11
11,3,0.0,1,1
1,4,0.0,1,1
2,4,10.0,0,11
3,4,10.0,0,11
4,4,10.0,0,11
5,4,10.0,0,11
6,4,10.0,0,11
7,4,10.0,0,11
8,4,10.0,0,11
9,4,10.0,0,11
10,4,10.0,0,11
11,4,0.0,1,1
1,5,0.0,1,1
2,5,10.0,0,11
3,5,10.0,0,11
4,5,10.0,0,11
5,5,10.0,0,11
6,5,10.0,0,11
7,5,10.0,0,11
8,5,10.0,0,11
9,5,10.0,0,11
10,5,10.0,0,11
11,5,0.0,1,1
1,6,0.0,1,1
2,6,10.0,0,11
3,6,10.0,0,11
4,6,10.0,0,11
5,6,10.0,0,11
6,6,10.0,0,11
7,6,10.0,0,11
8,6,10.0,0,11
9,6,10.0,0,11
10,6,10.0,0,11
11,6,0.0,1,1
1,7,0.0,1,1
2,7,0.0,1,1
3,7,0.0,1,1
4,7,0.0,1,1
5,7,5.0,0,6
6,7,5.0,0,6
7,7,5.0,0,6
8,7,0.0,1,1
9,7,0.0,1,1
10,7,0.0,1,1
11,7,0.0,1,1
1,8,0.0,1,1
2,8,0.0,1,1
3,8,0.0,1,1
4,8,0.0,1,1
5,8,5.0,0,6
6,8,5.0,0,6
7,8,5.0,0,6
8,8,0.0,1,1
9,8,0.0,1,1
10,8,0.0,1,1
11,8,0.0,1,1
1,9,0.0,1,1
2,9,0.0,1,1
3,9,0.0,1,1
4,9,0.0,1,1
5,9,0.0,1,1
6,9,5.0,0,6
7,9,0.0,1,1
8,9,0.0,1,1
9,9,0.0,1,1
10,9,0.0,1,1
11,9,0.0,1,1
1,10,0.0,1,1
2,10,0.0,1,1
3,10,0.0,1,1
4,10,0.0,1,1
5,10,5.0,0,6
6,10,5.0,0,6
7,10,5.0,0,6
8,10,0.0,1,1
9,10,0.0,1,1
10,10,0.0,1,1
11,10,0.0,1,1
1,11,0.0,1,1
2,11,0.0,1,1
3,11,0.0,1,1
4,11,0.0,1,1
5,11,5.0,0,6
6,11,5.0,0,6
7,11,5.0,0,6
8,11,0.0,1,1
9,11,0.0,1,1
10,11,0.0,1,1
11,11,0.0,1,1
1,12,0.0,1,1
2,12,7.0,0,8
3,12,7.0,0,8
4,12,7.0,0,8
5,12,7.0,0,8
6,12,7.0,0,8
7,12,7.0,0,8
8,12,7.0,0,8
9,12,7.0,0,8
10,12,7.0,0,8
11,12,0.0,1,1
1,13,0.0,1,1
2,13,7.0,0,8
3,13,7.0,0,8
4,13,7.0,0,8
5,13,7.0,0,8
6,13,7.0,0,8
7,13,7.0,0,8
8,13,7.0,0,8
9,13,7.0,0,8
10,13,7.0,0,8
11,13,0.0,1,1
1,14,0.0,1,1
2,14,7.0,0,8
3,14,7.0,0,8
4,14,7.0,0,8
5,14,7.0,0,8
6,14,7.0,0,8
7,14,7.0,0,8
8,14,7.0,0,8
9,14,7.0,0,8
10,14,7.0,0,8
11,14,0.0,1,1
1,15,0.0,1,1
2,15,7.0,0,8
3,15,7.0,0,8
4,15,7.0,0,8
5,15,7.0,0,8
6,15,7.0,0,8
7,15,7.0,0,8
8,15,7.0,0,8
9,15,7.0,0,8
10,15,7.0,0,8
11,15,0.0,1,1
1,16,0.0,1,1
2,16,7.0,0,8
3,16,7.0,0,8
4,16,7.0,0,8
5,16,7.0,0,8
6,16,7.0,0,8
7,16,7.0,0,8
8,16,7.0,0,8
9,16,7.0,0,8
10,16,7.0,0,8
11,16,0.0,1,1
1,17,0.0,1,1
2,17,0.0,1,1
3,17,0.0,1,1
4,17,0.0,1,1
5,17,0.0,1,1
6,17,0.0,1,1
7,17,0.0,1,1
8,17,0.0,1,1
9,17,0.0,1,1
10,17,0.0,1,1
11,17,0.0,1,1
